"date";"year";"week";"ship_units";"clean_su";"ship_ma";"ship_ma30"
2015-11-18;2015;46;197;197;145.714285714286;134
2015-11-19;2015;47;125;125;123.714285714286;134.833333333333
2015-11-20;2015;47;122;122;118.571428571429;136.45
2015-11-23;2015;47;86;86;107.428571428571;138.783333333333
2015-11-24;2015;47;66;66;87.5714285714286;141.7
2015-11-25;2015;47;104;104;85.1428571428571;142.133333333333
2015-11-26;2015;48;52;52;96.4285714285714;140.716666666667
2015-11-27;2015;48;58;58;110.142857142857;142.566666666667
2015-11-30;2015;48;108;108;127;144.4
2015-12-01;2015;48;201;201;129.428571428571;143.833333333333
2015-12-02;2015;48;182;182;136.714285714286;143.55
2015-12-03;2015;49;184;184;147.571428571429;142.066666666667
2015-12-04;2015;49;121;121;153.714285714286;137.383333333333
2015-12-05;2015;49;103;103;156.714285714286;133.683333333333
2015-12-07;2015;49;134;134;159.571428571429;132.066666666667
2015-12-09;2015;49;151;151;151.714285714286;130.233333333333
2015-12-10;2015;50;222;222;159.857142857143;129.316666666667
2015-12-11;2015;50;202;202;163.714285714286;129.35
2015-12-14;2015;50;129;129;163.571428571429;130.416666666667
2015-12-15;2015;50;178;178;177.285714285714;133.15
2015-12-16;2015;50;130;130;170.714285714286;135.616666666667
2015-12-17;2015;51;133;133;165;139.366666666667
2015-12-18;2015;51;247;247;166.142857142857;143.833333333333
2015-12-21;2015;51;176;176;142.857142857143;146.183333333333
2015-12-22;2015;51;162;162;129;145.933333333333
2015-12-23;2015;51;137;137;125;144.616666666667
2015-12-28;2015;52;15;15;99.4285714285714;144.4
2016-01-07;2016;1;33;33;95.5714285714286;145.416666666667
2016-01-08;2016;2;105;105;89.2857142857143;146.916666666667
2016-01-11;2016;2;68;68;88.4285714285714;146.866666666667
2016-01-12;2016;2;149;149;106.428571428571;146.3
2016-01-13;2016;2;118;118;126.714285714286;144.8
2016-01-14;2016;2;131;131;132.142857142857;142.316666666667
2016-01-15;2016;3;141;141;156.428571428571;140.9
2016-01-18;2016;3;175;175;155.142857142857;140.583333333333
2016-01-19;2016;3;143;143;162.142857142857;140.333333333333
2016-01-20;2016;3;238;238;161.571428571429;141.35
2016-01-21;2016;3;140;140;166.714285714286;140.55
2016-01-22;2016;4;167;167;166.857142857143;137.716666666667
2016-01-25;2016;4;127;127;173.571428571429;137.35
2016-01-26;2016;4;177;177;157.285714285714;138.7
2016-01-27;2016;4;176;176;153;140.583333333333
2016-01-28;2016;4;190;190;149.285714285714;144.316666666667
2016-01-29;2016;5;124;124;151.428571428571;149.133333333333
2016-02-01;2016;5;110;110;145.142857142857;152.116666666667
2016-02-02;2016;5;141;141;136.142857142857;152.983333333333
2016-02-03;2016;5;142;142;134;154.3
2016-02-04;2016;5;133;133;133.142857142857;155.983333333333
2016-02-05;2016;6;113;113;146.857142857143;155.066666666667
2016-02-09;2016;6;175;175;144.714285714286;153.216666666667
2016-02-10;2016;6;118;118;142.571428571429;152.416666666667
2016-02-11;2016;6;206;206;150.571428571429;151.266666666667
2016-02-12;2016;7;126;126;161.714285714286;150
2016-02-15;2016;7;127;127;147.285714285714;150.9
2016-02-16;2016;7;189;189;158.714285714286;153.466666666667
2016-02-17;2016;7;191;191;162;152.866666666667
2016-02-18;2016;7;74;74;161.571428571429;151.116666666667
2016-02-19;2016;8;198;198;164.285714285714;149.3
2016-02-22;2016;8;229;229;165.857142857143;149.066666666667
2016-02-23;2016;8;123;123;160;151.2
2016-02-24;2016;8;146;146;159;151.533333333333
2016-02-25;2016;8;200;200;150.428571428571;151.333333333333
2016-02-26;2016;9;150;150;136.571428571429;153.016666666667
2016-02-29;2016;9;67;67;144.714285714286;154.066666666667
2016-03-01;2016;9;138;138;141.285714285714;153.4
2016-03-02;2016;9;132;132;146.857142857143;153.266666666667
2016-03-03;2016;9;180;180;155.285714285714;153.55
2016-03-04;2016;10;122;122;154.142857142857;154.866666666667
2016-03-07;2016;10;239;239;161.428571428571;155.2
2016-03-08;2016;10;209;209;152.285714285714;154.466666666667
2016-03-09;2016;10;59;59;159.714285714286;153.033333333333
2016-03-10;2016;10;189;189;160.857142857143;154.483333333333
2016-03-11;2016;11;68;68;146.857142857143;156.566666666667
2016-03-14;2016;11;232;232;135.571428571429;156.35
2016-03-15;2016;11;130;130;162.285714285714;157.15
2016-03-16;2016;11;141;141;144.285714285714;158.433333333333
2016-03-17;2016;11;130;130;161;159.866666666667
2016-03-18;2016;12;246;246;142.142857142857;159.816666666667
2016-03-19;2016;12;63;63;158;161.45
2016-03-29;2016;13;185;185;162.142857142857;162.683333333333
2016-03-30;2016;13;100;100;158.285714285714;161.633333333333
2016-03-31;2016;13;241;241;147.285714285714;160.066666666667
2016-04-01;2016;14;170;170;156.142857142857;157.716666666667
2016-04-04;2016;14;103;103;162.142857142857;156.3
2016-04-05;2016;14;169;169;172.142857142857;154.25
2016-04-06;2016;14;125;125;172.571428571429;153.1
2016-04-07;2016;14;227;227;170.571428571429;153.666666666667
2016-04-08;2016;15;170;170;183;155.566666666667
2016-04-11;2016;15;244;244;193.428571428571;153.766666666667
2016-04-12;2016;15;156;156;190.571428571429;151.483333333333
2016-04-13;2016;15;190;190;188.142857142857;154.316666666667
2016-04-14;2016;15;242;242;173.714285714286;156.9
2016-04-15;2016;16;105;105;158.571428571429;158.35
2016-04-18;2016;16;210;210;147.714285714286;161.916666666667
2016-04-19;2016;16;69;69;132.142857142857;164.266666666667
2016-04-20;2016;16;138;138;125.428571428571;166.333333333333
2016-04-21;2016;16;80;80;129;169.966666666667
2016-04-22;2016;17;81;81;108.857142857143;170.416666666667
2016-04-25;2016;17;195;195;129.428571428571;171.55
2016-04-26;2016;17;130;130;132.285714285714;171.3
2016-04-27;2016;17;69;69;125.714285714286;169.466666666667
2016-04-28;2016;17;213;213;141.428571428571;169.983333333333
2016-04-29;2016;18;158;158;149.285714285714;171.316666666667
2016-04-30;2016;18;34;34;155.857142857143;172.466666666667
2016-05-02;2016;18;191;191;187;173.883333333333
2016-05-03;2016;18;250;250;190.285714285714;174.983333333333
2016-05-04;2016;18;176;176;189.571428571429;176.366666666667
2016-05-05;2016;18;287;287;221.285714285714;179.783333333333
2016-05-06;2016;19;236;236;237.285714285714;181.45
